fund_name,sales_start,operation_start,operation_end,actual_end,target_amount,subscribed_amount,annual_yield,distribution_frequency,redemption_status,source_url,source_date,confidence,notes
成田3号,,2021-04-01,2026-03-31,,3700000000,,0.07,bimonthly,運用中,https://www.minnadeooyasan.com/fund_list/narita3/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
伊勢5,,2021-02-01,2024-01-31,,2000000000,,0.07,unknown,不明,https://www.minnadeooyasan.com/fund_list/ise5/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
成田2号,,2021-03-01,2026-02-28,,2292000000,,0.07,bimonthly,運用中,https://www.minnadeooyasan.com/fund_list/narita2/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
成田1号,,2021-02-01,2026-01-31,,2028000000,,0.07,bimonthly,運用中,https://www.minnadeooyasan.com/fund_list/narita1/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
46号,,2020-11-01,2025-10-31,,3432000000,,0.07,bimonthly,運用中,https://www.minnadeooyasan.com/fund_list/46/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
45号,,2020-09-01,2025-09-30,,2288000000,,0.07,bimonthly,運用中,https://www.minnadeooyasan.com/fund_list/45/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
43号,,2020-07-01,2025-07-31,,2288000000,,0.07,bimonthly,運用中,https://www.minnadeooyasan.com/fund_list/43/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
42号,,2020-05-01,2025-04-30,,2288000000,,0.07,unknown,不明,https://www.minnadeooyasan.com/fund_list/42/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
41号,,2020-04-01,2023-03-31,,312000000,,0.062,unknown,不明,https://www.minnadeooyasan.com/fund_list/41/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
伊勢4,,2020-03-01,2023-02-28,,3000000000,,0.07,unknown,不明,https://www.minnadeooyasan.com/fund_list/ise4/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
40号,,2020-03-01,2025-02-28,,2288000000,,0.07,unknown,不明,https://www.minnadeooyasan.com/fund_list/40/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
39号,,2019-12-02,2024-12-01,,2288000000,,0.07,unknown,不明,https://www.minnadeooyasan.com/fund_list/39/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
38号,,2019-10-01,2022-09-30,,1600000000,,0.06,unknown,不明,https://www.minnadeooyasan.com/fund_list/38/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
37号,,2019-10-01,2024-09-30,,2288000000,,0.07,unknown,不明,https://www.minnadeooyasan.com/fund_list/37/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
36号,,2019-09-01,2022-08-31,,900000000,,0.065,unknown,不明,https://www.minnadeooyasan.com/fund_list/36/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
35号,,2019-09-02,2022-09-01,,1144000000,,0.065,unknown,不明,https://www.minnadeooyasan.com/fund_list/35/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
34号,,2019-09-02,2024-09-01,,1144000000,,0.07,unknown,不明,https://www.minnadeooyasan.com/fund_list/34/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
33号,,2019-05-07,2024-05-06,,2288000000,,0.07,unknown,不明,https://www.minnadeooyasan.com/fund_list/33/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
32号,,2019-02-01,2024-01-31,,2288000000,,0.07,unknown,不明,https://www.minnadeooyasan.com/fund_list/32/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
31号,,2019-02-01,2022-01-31,,620000000,,0.065,unknown,不明,https://www.minnadeooyasan.com/fund_list/31/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
ファーム3号,,2018-12-01,2021-11-30,,1800000000,,0.07,unknown,不明,https://www.minnadeooyasan.com/fund_list/farm3/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
ファーム2号,,2018-07-02,2021-07-01,,4000000000,,0.07,unknown,不明,https://www.minnadeooyasan.com/fund_list/farm2/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
ファーム1号,,2018-03-01,2021-02-28,,2400000000,,0.071,unknown,不明,https://www.minnadeooyasan.com/fund_list/farm1/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
伊勢Ⅲ,,2017-12-01,2020-11-30,,2000000000,,0.07,unknown,不明,https://www.minnadeooyasan.com/fund_list/ise3/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
伊勢Ⅱ,,2017-08-01,2020-07-31,,2000000000,,0.07,unknown,不明,https://www.minnadeooyasan.com/fund_list/ise2/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
30号,,2017-06-01,2020-05-31,,2800000000,,0.07,unknown,不明,https://www.minnadeooyasan.com/fund_list/30/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
29号,,2017-04-01,2020-03-31,,500000000,,0.062,unknown,不明,https://www.minnadeooyasan.com/fund_list/29/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
28号,,2017-03-01,2020-02-29,,312000000,,0.062,unknown,不明,https://www.minnadeooyasan.com/fund_list/28/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
伊勢,,2017-02-01,2020-01-31,,3000000000,,0.07,unknown,不明,https://www.minnadeooyasan.com/fund_list/ise/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
27号,,2016-10-26,2019-10-25,,160000000,,0.06,unknown,不明,https://www.minnadeooyasan.com/fund_list/27/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
26号,,2016-08-01,2019-07-31,,1600000000,,0.06,unknown,不明,https://www.minnadeooyasan.com/fund_list/26/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
25号,,2016-08-01,2019-07-31,,900000000,,0.065,unknown,不明,https://www.minnadeooyasan.com/fund_list/25/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
23号,,2016-04-01,2019-03-31,,424000000,,0.061,unknown,不明,https://www.minnadeooyasan.com/fund_list/23/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
22号,,2016-01-01,2018-12-31,,620000000,,0.065,unknown,不明,https://www.minnadeooyasan.com/fund_list/22/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
21号,,2015-12-01,2018-11-30,,424000000,,0.061,unknown,不明,https://www.minnadeooyasan.com/fund_list/21/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
20号,,2015-09-01,2018-08-31,,436000000,,0.061,unknown,不明,https://www.minnadeooyasan.com/fund_list/20/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
19号,,2014-12-01,2017-11-30,,2800000000,,0.07,unknown,不明,https://www.minnadeooyasan.com/fund_list/19/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
18号,,2014-12-01,2017-11-30,,1864000000,,0.06,unknown,不明,https://www.minnadeooyasan.com/fund_list/18/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
17号,,2014-06-01,2017-05-31,,1120000000,,0.06,unknown,不明,https://www.minnadeooyasan.com/fund_list/17/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
16号,,2014-06-01,2017-05-31,,1200000000,,0.06,unknown,不明,https://www.minnadeooyasan.com/fund_list/16/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
15号,,2014-04-01,2017-03-31,,580000000,,0.06,unknown,不明,https://www.minnadeooyasan.com/fund_list/15/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
14号,,2014-02-28,2017-02-27,,500000000,,0.062,unknown,不明,https://www.minnadeooyasan.com/fund_list/14/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
13号,,2014-01-31,2017-01-30,,312000000,,0.062,unknown,不明,https://www.minnadeooyasan.com/fund_list/13/,2026-09-02,confirmed,公式商品ページの募集総口数×1口100万円を募集予定額として収録。実際の出資額ではない。
